feature,importance
Class_SmallOffice,0.08466973
Class_LargeHotel,0.06705149
Class_Hospital,0.06442528
InteriorEquipment_Electricity__kW__Hourly_,0.058877513
Electricity_Facility__kW__Hourly_,0.05844326
InteriorEquipment_Gas__kW__Hourly_,0.049173538
Water_Heater_WaterSystems_Gas__kW__Hourly_,0.04767471
Fans_Electricity__kW__Hourly_,0.040591076
Class_SecondarySchool,0.038968
Class_LargeOffice,0.038120367
Class_PrimarySchool,0.036252506
Class_SuperMarket,0.032804646
InteriorLights_Electricity__kW__Hourly_,0.031652223
Class_Stand-aloneRetail,0.026545154
Class_StripMall,0.026357025
Class_QuickServiceRestaurant,0.025662595
Class_MediumOffice,0.021818448
lag_168,0.021763505
Class_SmallHotel,0.02152586
lead_1,0.020817753
Class_MidriseApartment,0.020815236
lag_1,0.01861209
Class_Warehouse,0.017122492
roll_mean_168,0.016765237
Heating_Gas__kW__Hourly_,0.015203324
Cooling_Electricity__kW__Hourly_,0.015140794
Gas_Facility__kW__Hourly_,0.0123321
Heating_Electricity__kW__Hourly_,0.009602706
lag_24,0.008663968
diff_lead_1,0.008498085
Class_OutPatient,0.008420471
lead_24,0.008389275
diff_1,0.008022587
roll_std_24,0.0076614595
roll_mean_24_forward,0.0060952846
roll_mean_24,0.005460096
