feature,importance
InteriorEquipment_Electricity__kW__Hourly_,0.1648545663016227
Water_Heater_WaterSystems_Gas__kW__Hourly_,0.130103496509477
Electricity_Facility__kW__Hourly_,0.12065566487175673
Fans_Electricity__kW__Hourly_,0.11034451059113398
InteriorLights_Electricity__kW__Hourly_,0.09304151470412932
roll_mean_168,0.0733292720107462
InteriorEquipment_Gas__kW__Hourly_,0.06983021588138467
lag_168,0.05355168301919055
lead_1,0.037592393395732074
lag_1,0.026362802993443225
Cooling_Electricity__kW__Hourly_,0.021288485481575917
Heating_Gas__kW__Hourly_,0.02045559787647618
roll_std_24,0.016920440567425695
lag_24,0.012851287472112765
Class_SmallOffice,0.012474495843235709
Gas_Facility__kW__Hourly_,0.007602931552190307
Class_Hospital,0.007413229204185118
roll_mean_24_forward,0.005970452638741046
lead_24,0.004003550833426979
Class_SecondarySchool,0.0035323312477589237
diff_1,0.0021667227147451956
Heating_Electricity__kW__Hourly_,0.0015473418441278354
Class_SmallHotel,0.0015232227993995922
diff_lead_1,0.0014310598367555493
Class_SuperMarket,0.0006273593909917708
Class_LargeHotel,0.0004528811424085983
roll_mean_24,7.100827145569438e-05
Class_Warehouse,1.4810043707394533e-06
Class_QuickServiceRestaurant,0.0
Class_OutPatient,0.0
Class_MidriseApartment,0.0
Class_MediumOffice,0.0
Class_Stand-aloneRetail,0.0
Class_StripMall,0.0
Class_LargeOffice,0.0
Class_PrimarySchool,0.0
