feature,importance
Class_SmallOffice,0.12372832
Electricity_Facility__kW__Hourly_,0.102682814
lag_168,0.058951277
Class_PrimarySchool,0.05424817
lag_1,0.05417093
Class_QuickServiceRestaurant,0.045470692
Class_LargeHotel,0.042314697
Class_SecondarySchool,0.0419195
Class_SmallHotel,0.04169571
Class_MidriseApartment,0.0408332
Class_OutPatient,0.03879497
Class_MediumOffice,0.037266947
Class_LargeOffice,0.037113383
Class_Warehouse,0.035979923
Class_Hospital,0.035617176
Class_Stand-aloneRetail,0.032882296
Class_SuperMarket,0.029378384
lag_24,0.028915606
roll_std_24,0.026930317
diff_1,0.026337015
Class_StripMall,0.024791209
roll_mean_168,0.02264978
roll_mean_24,0.017327636
